
Gannie    	1	M	dark navy blue      	Healthy
Chrystel  	1	F	warm purple         	Healthy
Ferdinanda	1	F	warm purple         	Radioactive
Zebedee   	1	M	warm purple         	Healthy
Caritta   	1	F	warm purple         	Healthy
Terence   	1	M	warm purple         	Healthy
Siward    	1	M	warm purple         	Healthy
Aloysius  	1	M	warm purple         	Healthy
Lucian    	1	M	warm purple         	Healthy
Lane      	1	F	warm purple         	Healthy
Roselia   	1	F	warm purple         	Healthy
Renie     	1	F	dark navy blue      	Healthy
Dominik   	1	M	dark navy blue      	Healthy
Harv      	1	M	warm purple         	Healthy
Ilsa      	1	F	warm purple         	Healthy
Park      	1	M	dark navy blue      	Healthy
Waldemar  	1	M	warm purple         	Healthy
Aubert    	1	M	warm purple         	Healthy
Nathanil  	1	M	dark navy blue      	Healthy
Karola    	1	F	warm purple         	Healthy
Helaine   	1	F	warm purple         	Healthy
Yorgo     	1	M	warm purple         	Healthy
Robina    	0	F	warm purple         	Healthy
Raimund   	0	M	dark navy blue      	Healthy
Conrade   	0	M	warm purple         	Healthy
Rollin    	0	M	warm purple         	Healthy
Lyman     	0	M	warm purple         	Healthy
Joellen   	0	F	dark navy blue      	Healthy
Braden    	0	M	warm purple         	Healthy
Ammamaria 	0	F	warm purple         	Healthy
Zebulon   	0	M	dark navy blue      	Healthy
Carter    	0	M	warm purple         	Healthy
Kiah      	0	F	warm purple         	Healthy
Josiah    	0	M	warm purple         	Healthy
Electra   	0	F	warm purple         	Healthy
Alex      	0	M	warm purple         	Healthy
Lolita    	0	F	warm purple         	Healthy
Wilton    	0	M	warm purple         	Healthy
Teddie    	0	F	dark navy blue      	Healthy
Gabriel   	0	M	dark navy blue      	Healthy
Harmonia  	0	F	warm purple         	Healthy
Quinton   	0	M	warm purple         	Healthy
Casper    	0	M	dark navy blue      	Healthy
Dael      	0	F	warm purple         	Healthy
Halsey    	0	M	dark navy blue      	Healthy
Mart      	0	M	warm purple         	Healthy
Brandi    	0	F	warm purple         	Healthy
Josee     	0	F	warm purple         	Healthy
Elvina    	0	F	dark navy blue      	Healthy
Wolfie    	0	M	dark navy blue      	Healthy
Mathilda  	0	F	warm purple         	Healthy
Brigham   	0	M	dark navy blue      	Healthy
Abie      	0	M	warm purple         	Radioactive
Kristen   	0	F	warm purple         	Healthy
Harmonie  	0	F	warm purple         	Healthy
Luciana   	0	F	dark navy blue      	Healthy
------------------------------------------------------------------------
Inness    	10	M	warm purple         	Healthy
Kacey     	10	F	dark navy blue      	Healthy
Myrilla   	9	F	warm purple         	Healthy
Pavel     	9	M	dark navy blue      	Healthy
Katusha   	9	F	warm purple         	Healthy
Lindsay   	8	M	warm purple         	Healthy
Elijah    	8	M	dark navy blue      	Healthy
Trescha   	8	F	warm purple         	Healthy
Skyler    	8	M	dark navy blue      	Healthy
Brita     	7	F	warm purple         	Healthy
Kinnie    	7	M	dark navy blue      	Healthy
Quinn     	7	F	warm purple         	Healthy
Kate      	7	F	dark navy blue      	Healthy
Gretna    	7	F	warm purple         	Radioactive
Josy      	7	F	warm purple         	Healthy
Darline   	6	F	warm purple         	Healthy
Chester   	6	M	dark navy blue      	Healthy
Abby      	6	M	warm purple         	Radioactive
Minnie    	6	F	dark navy blue      	Healthy
Rozelle   	6	F	warm purple         	Healthy
Dulcine   	6	F	warm purple         	Healthy
Angelica  	6	F	warm purple         	Radioactive
Dedra     	5	F	warm purple         	Healthy
Gasparo   	5	M	dark navy blue      	Healthy
Danika    	5	F	warm purple         	Radioactive
Amby      	5	M	dark navy blue      	Healthy
Belinda   	5	F	warm purple         	Healthy
Vivianna  	5	F	warm purple         	Radioactive
Collette  	5	F	warm purple         	Radioactive
Georgine  	5	F	warm purple         	Healthy
Rebekkah  	5	F	warm purple         	Radioactive
Delano    	5	M	dark navy blue      	Healthy
Kizzie    	5	F	warm purple         	Healthy
Meryl     	5	F	warm purple         	Healthy
Bobbee    	4	F	warm purple         	Healthy
Francine  	4	F	dark navy blue      	Healthy
Grantham  	4	M	warm purple         	Radioactive
Debi      	4	F	dark navy blue      	Healthy
Millisent 	4	F	warm purple         	Healthy
Shelley   	4	F	warm purple         	Healthy
Hedy      	4	F	warm purple         	Radioactive
Sinclair  	4	M	warm purple         	Healthy
Jarret    	4	M	warm purple         	Radioactive
Mallissa  	4	F	dark navy blue      	Healthy
Carmine   	4	F	warm purple         	Healthy
Anstice   	4	F	warm purple         	Healthy
Tildy     	4	F	warm purple         	Healthy
Annabelle 	4	F	dark navy blue      	Healthy
Linette   	4	F	warm purple         	Healthy
Sallyanne 	4	F	warm purple         	Healthy
Drucie    	4	F	warm purple         	Healthy
Kean      	3	M	warm purple         	Healthy
Veronika  	3	F	dark navy blue      	Healthy
Lynelle   	3	F	warm purple         	Healthy
Shandie   	3	F	dark navy blue      	Healthy
Lisbeth   	3	F	warm purple         	Healthy
Alonso    	3	M	warm purple         	Healthy
Barney    	3	M	warm purple         	Healthy
Velma     	3	F	warm purple         	Healthy
Fredericka	3	F	warm purple         	Healthy
Gussie    	3	F	dark navy blue      	Healthy
Christalle	3	F	warm purple         	Healthy
Minette   	3	F	warm purple         	Healthy
Courtney  	3	F	warm purple         	Healthy
Kassey    	3	F	dark navy blue      	Healthy
Jaimie    	3	M	warm purple         	Healthy
Andonis   	3	M	warm purple         	Healthy
Arch      	3	M	warm purple         	Radioactive
Lesley    	3	M	warm purple         	Radioactive
Lenette   	3	F	warm purple         	Radioactive
Kingston  	3	M	warm purple         	Healthy
Dom       	3	M	warm purple         	Radioactive
Mirabella 	3	F	warm purple         	Healthy
Robert    	3	M	warm purple         	Radioactive
Analise   	3	F	warm purple         	Healthy
Chilton   	3	M	warm purple         	Healthy
Michell   	2	F	dark navy blue      	Healthy
Salli     	2	F	warm purple         	Healthy
Carlo     	2	M	warm purple         	Healthy
Benedicto 	2	M	warm purple         	Radioactive
Hewie     	2	M	warm purple         	Healthy
Decca     	2	M	dark navy blue      	Healthy
Gib       	2	M	warm purple         	Healthy
Antone    	2	M	warm purple         	Healthy
Gannie    	2	M	dark navy blue      	Healthy
Chrystel  	2	F	warm purple         	Healthy
Ferdinanda	2	F	warm purple         	Radioactive
Zebedee   	2	M	warm purple         	Radioactive
Caritta   	2	F	warm purple         	Healthy
Terence   	2	M	warm purple         	Healthy
Siward    	2	M	warm purple         	Healthy
Aloysius  	2	M	warm purple         	Healthy
Lucian    	2	M	warm purple         	Healthy
Lane      	2	F	warm purple         	Healthy
Roselia   	2	F	warm purple         	Healthy
Renie     	2	F	dark navy blue      	Healthy
Dominik   	2	M	dark navy blue      	Healthy
Harv      	2	M	warm purple         	Radioactive
Ilsa      	2	F	warm purple         	Healthy
Park      	2	M	dark navy blue      	Healthy
Waldemar  	2	M	warm purple         	Healthy
Aubert    	2	M	warm purple         	Healthy
Nathanil  	2	M	dark navy blue      	Healthy
Karola    	2	F	warm purple         	Healthy
Helaine   	2	F	warm purple         	Healthy
Yorgo     	2	M	warm purple         	Radioactive
Robina    	1	F	warm purple         	Radioactive
Raimund   	1	M	dark navy blue      	Healthy
Conrade   	1	M	warm purple         	Healthy
