
Lionel    	1	M	pale olive green    	Healthy
Kellina   	0	F	pale olive green    	Healthy
Frankie   	0	F	pale olive green    	Healthy
Pier      	0	F	muted pink          	Healthy
Natividad 	0	F	muted pink          	Radioactive
Stafani   	0	F	muted pink          	Healthy
Genvieve  	0	F	pale olive green    	Healthy
Donavon   	0	M	pale olive green    	Healthy
Hurlee    	0	M	muted pink          	Healthy
Sky       	0	M	pale olive green    	Healthy
Isaac     	0	M	muted pink          	Healthy
Kimbra    	0	F	pale olive green    	Healthy
Lauretta  	0	F	muted pink          	Healthy
Ania      	0	F	muted pink          	Healthy
Webster   	0	M	pale olive green    	Healthy
Kriste    	0	F	pale olive green    	Healthy
Merrill   	0	M	muted pink          	Healthy
Venita    	0	F	muted pink          	Healthy
Marlyn    	0	F	pale olive green    	Healthy
See       	0	M	muted pink          	Healthy
Ailee     	0	F	pale olive green    	Healthy
Gerrie    	0	M	pale olive green    	Healthy
Augy      	0	M	muted pink          	Healthy
Harry     	0	M	muted pink          	Healthy
Gordan    	0	M	pale olive green    	Healthy
Nessa     	0	F	muted pink          	Healthy
Germain   	0	F	pale olive green    	Healthy
Lauren    	0	M	muted pink          	Healthy
Amargo    	0	F	pale olive green    	Healthy
Katherine 	0	F	muted pink          	Healthy
Eimile    	0	F	pale olive green    	Healthy
Osbourn   	0	M	muted pink          	Healthy
Raimondo  	0	M	muted pink          	Healthy
Clare     	0	M	muted pink          	Healthy
------------------------------------------------------------------------
Miller    	10	M	muted pink          	Healthy
Andie     	10	F	pale olive green    	Healthy
Hersch    	10	M	muted pink          	Radioactive
Talbert   	10	M	muted pink          	Healthy
Elnar     	9	M	muted pink          	Healthy
Kleon     	9	M	pale olive green    	Healthy
Nestor    	9	M	muted pink          	Healthy
Goddard   	9	M	muted pink          	Healthy
Pat       	9	M	pale olive green    	Healthy
Rozella   	8	F	muted pink          	Healthy
Benson    	8	M	pale olive green    	Healthy
Ajay      	8	F	muted pink          	Healthy
Emma      	8	F	muted pink          	Radioactive
Mia       	8	F	pale olive green    	Healthy
Gilly     	8	F	pale olive green    	Healthy
Malynda   	7	F	muted pink          	Healthy
